"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Mille tonnes";"";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";"";""
"Production des carburants";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Gaz de pétrole liquifié";"90";"98";"81";"84";"63";"67";"66";"42";"66"
"Essence naturelle (gazoline)";"24";"29";"21";"23";"22";"20";"15";"1";"15"
"Essence super (+sans plomb)";"--";"22";"79";"3";"0";"49";"78";"110";"33"
"Pétrole lampant";"55";"53";"59";"34";"11";"20";"19";"16";"28"
"White spirit";"12";"10";"11";"13";"2";"6";"7";"6";"8"
"Fuel-Oil lourd";"431";"409";"327";"338";"53";"394";"537";"448";"321"
"Gaz-Oil";"492";"439";"315";"407";"41";"421";"657";"592";"403"
"Virgin Naphte";"292";"230";"93";"241";"33";"191";"260";"219";"215"
