"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : 1000T";"";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";"";""
"Production des conserveries";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Concentré de tomates";"119.0";"140.8";"141.4";"134.3";"96.8";"111.1";"134.0";"102.2";"96.6"
"Harissa";"26.6";"33.2";"25.7";"30.0";"33.4";"34.0";"30.0";"29.0";"39.5"
"Conserves de poissons";"13.4";"13.7";"15.7";"15.3";"11.6";"12.7";"13.0";"12.7";"13.9"
