"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : 1000 T";"";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";"";""
"Production des matériaux de construction, céramiques et verre";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Ciments, Chaux et Plâtre";"8240.0";"8853.1";"7871.0";"8356.0";"8503.3";"10243.9";"9791.0";"9236.0";"8245.0"
"Articles Sanitaires";"116.5";"83.0";"91.0";"165.9";"--";"--";"--";"--";"--"
"Produits en verre";"45.1";"39.7";"46.4";"36.0";"--";"--";"--";"--";"--"
