"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : 1000T";"";"";"";"";"";"";"";"";""
"Source : Direction Générale des Mines";"";"";"";"";"";"";"";"";""
"Production et commercialisation du sel";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Production du sel";"1127.0";"933.0";"1063.5";"1280.0";"1804.0";"1480.1";"1296.0";"1383.7";"887.7"
"Ventes locales du sel";"104.0";"110.0";"107.0";"114.0";"119.0";"121.0";"133.0";"141.4";"175.1"
"Ventes  du sel à l'extérieur";"928.0";"724.0";"1031.0";"1120.0";"1693.0";"1180.6";"1131.0";"1146.0";"695.1"
