"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Mille tonnes";"";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";"";""
"Production et échange du pétrole brut";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Production";"2547";"2429";"2055";"1987";"1824";"1686";"2041";"1755";"1662"
"Quantité reçue par la raffinerie";"1330";"1216";"860";"1005";"226";"1127";"1610";"1386";"1074"
"Dont locale";"451";"330";"225";"493";"101";"321";"357";"452";"299"
"Quantitées traitées par la raffinerie";"1313";"1192";"912";"1062";"140";"1114";"1610";"1445";"1074"
"Importations";"879";"886";"635";"512";"125";"807";"1254";"934";"775"
"Exportations";"1871";"1814";"1461";"1234";"1594";"1208";"1622";"1253";"1355"
