"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Tonne";"";"";"";"";"";"";"";"";""
"Source : Ministère  de l'Agriculture";"";"";"";"";"";"";"";"";""
"Production récoltée";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Total céréale";"2273.0";"1295.1";"2317.1";"--";"--";"--";"--";"--";"--"
"Total plantes sarclées";"340000.0";"385000.0";"463000.0";"--";"--";"--";"--";"--";"--"
"Total légumes frais, incluant les jardins familiaux";"2945000.0";"3067000.0";"3324000.0";"--";"--";"--";"--";"--";"--"
"Total légumes frais";"3404800.0";"3192904.2";"3612295.0";"--";"--";"--";"--";"--";"--"
"Total fruits y compris jardins familiaux (excluant raisins, olives et dattes)";"2945000.0";"512900.0";"658700.0";"517800.0";"540600.0";"507700.0";"--";"--";"--"
"Total agrumes";"360000.0";"330000.0";"355000.0";"431000.0";"378700.0";"559600.0";"346000.0";"441000.0";"528400.0"
"Total raisins";"151000.0";"168000.0";"174500.0";"--";"--";"--";"--";"--";"--"
"Total olives";"986700.0";"1125000.0";"537000.0";"--";"--";"--";"--";"--";"--"
"Total Dattes";"190000.0";"195000.0";"199000.0";"223000.0";"241000.0";"260000.0";"305000.0";"289000.0";"332000.0"
"Total fourrages";"4702900.0";"4122600.0";"5163800.0";"--";"--";"--";"--";"--";"--"
