"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Tonne";"";"";"";"";"";"";"";"";""
"Source : Ministère  de l'Agriculture";"";"";"";"";"";"";"";"";""
"Production totale du viande par type";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Bovins";"111500";"104000";"114000";"86000";"81000";"86000";"95000";"96000";"97000"
"Ovins";"106700";"104500";"109800";"115000";"121000";"122000";"123800";"133000";"132200"
"Caprins";"22800";"22000";"22600";"22900";"22700";"23100";"24000";"27000";"26700"
"Volailles";"190000";"200000";"186400";"185000";"188000";"200000";"192000";"203000";"203700"
"Autres";"107000";"109300";"103800";"107100";"108500";"107600";"109000";"113000";"115600"
"Œufs (millions de pièces)";"2054";"2157";"2059";"2038";"1915";"1925";"1958";"1845";"1841"
