"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Million m3/an";"";"";"";"";"";"";"";"";""
"Source : Ministère de l'agriculture";"";"";"";"";"";"";"";"";""
"Prélévement des eaux";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010"
"Volume brut d'eau douce de surface prélevé";"2447.6";"2385.9";"2350.9";"2448.3";"2506.6";"2540.7";"2555.3";"2562.2";"2721.0"
"Volume d'eau prélevé par les services d'alimentation en eau";"1384.6";"1331.9";"1316.9";"1381.3";"1432.3";"1486.5";"1488.0";"1492.0";"1584.0"
"Volume d'eau prélevé directement, par agent ou activité économique";"1063.0";"1054.0";"1034.0";"1067.0";"1074.3";"1054.2";"1067.3";"1070.2";"1137.0"
"Volume brut d'eaux douces souterraines prélevé";"1913.0";"1887.0";"1905.0";"1950.0";"1978.0";"1995.0";"2034.0";"2050.0";"2175.0"
