"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : 1000 KW";"";"";"";"";"";"";"";"";""
"Source : Société Tunisienne d'Electricité et de Gaz";"";"";"";"";"";"";"";"";""
"Puissance installée par centrale";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Thermique vapeur";"1040";"1040";"1040";"1040";"920";"660";"660";"660";"660"
"Cycle combiné";"789";"1214";"1639";"1639";"1612";"1612";"1612";"1612";"2083"
"Turbine à gaz";"1772";"1772";"1772";"2024";"2004";"2004";"2598";"2879";"2879"
"Hydraulique";"62";"62";"62";"62";"62";"62";"62";"62";"62"
"Eolienne";"200";"233";"240";"240";"240";"240";"240";"240";"240"
