"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Tonne";"";"";"";"";"";"";"";"";""
"Source : Direction General  de la pêche et de l'aquaculture";"";"";"";"";"";"";"";"";""
"Pêche marine (poids vifs en Tonne)";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Chalut";"26039";"27279";"27233";"27541";"26730";"21316";"22563";"22753";"23943"
"Pêche avec feu";"51439";"51833";"52400";"54487";"47500";"49855";"51000";"50000";"50500"
"Côtière";"28577";"27734";"31812";"32110";"32347";"33847";"38300";"54558";"43286"
"Thon";"1313";"1822";"1364";"1403";"1562";"2053";"2115";"2400";"2648"
"Crustacé  (Langouste)";"33";"40";"46";"55";"48";"53";"33";"27";"20"
"Lagunaire & Aquaculture";"9453";"12356";"11911";"14694";"16872";"22392";"22260";"22500";"23500"
"Eponge";"9";"11";"23";"19";"35";"31";"6";"10";"3"
"Corail";"4";"4";"7";"11";"8";"8";"6";"4";"2"
"Coquillage";"770";"1102";"1635";"1385";"1547";"734";"1100";"1230";"1420"
