"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Hectar";"";"";"";"";"";"";"";"";""
"Source : Ministère  de l'Agriculture";"";"";"";"";"";"";"";"";""
"Répartition de la superficie agricole selon la catégorie d'occupation du sol";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2022";"2021"
"Superficie labourable";"4920.0";"4917.3";"4934.6";"4992.9";"4950.5";"4950.5";"4950.5";"4891.4";"--"
"Jachère";"784.0";"1270.2";"620.4";"617.2";"604.7";"604.7";"604.7";"1300.0";"--"
"Autres terres (cultivés)";"4136.0";"3647.1";"4006.2";"4100.4";"4070.6";"4070.6";"4070.6";"4070.6";"4070.6"
"Parcours, Alfa et Broussailles";"4840.7";"4820.0";"4767.6";"47503.0";"36899.0";"36899.0";"36899.0";"4755.5";"--"
"Bois,  forêt";"692.2";"712.0";"742.0";"759.4";"759.4";"759.4";"759.4";"825.5";"--"
"Céréaliculture";"1320.1";"1196.9";"1133.8";"1236.9";"1162.5";"1162.5";"1181.0";"996.6";"1180.0"
"Fourrages";"417.0";"397.2";"406.3";"411.8";"424.0";"424.0";"395.3";"259.3";"346.0"
"Légumes";"156.6";"158.8";"151.3";"147.1";"147.0";"147.0";"160.1";"143.6";"114.1"
"Légumineuses en sec";"83.0";"82.6";"82.1";"87.7";"85.0";"85.0";"67.7";"61.8";"72.7"
"Féves et févroles";"57.6";"56.6";"51.6";"51.8";"57.0";"57.0";"51.2";"48.3";"48.6"
"Petit poids et poichiches";"16.2";"14.9";"14.4";"18.4";"15.6";"15.6";"14.1";"15.2";"17.1"
"Autres légumineuses";"9.2";"11.1";"16.1";"17.5";"12.0";"12.0";"12.4";"--";"--"
"Arboriculture fruitière";"2331.7";"2347.2";"2371.4";"2385.7";"2380.9";"2380.9";"2119.2";"--";"6235.1"
