"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Office de l’Aviation Civile et des Aéroports (O.A.C.A)";"";"";"";"";"";"";"";"";""
"Répartition du trafic commercial et mouvements d’avions par relations";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Intérieur";"13796";"11243";"11228";"10016";"9200";"6100";"7909";"9667";"8426"
"Pays d'afrique";"9788";"13913";"15368";"15994";"16732";"4524";"5940";"13635";"16394"
"Moyen - Orient";"3993";"3807";"4462";"4631";"4576";"1578";"1669";"2989";"3669"
"Pays d'Europe";"--";"--";"--";"--";"--";"--";"--";"--";"--"
"Pays d'asie";"652";"5680";"4393";"5062";"5032";"84";"572";"95";"226"
"Diverses relations";"4";"108";"183";"245";"260";"137";"118";"199";"273"
