"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Tonne";"";"";"";"";"";"";"";"";""
"Source : Office de l’Aviation Civile et des Aéroports (O.A.C.A)";"";"";"";"";"";"";"";"";""
"Répartition du trafic commercial fret par relations";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Intérieur";"13";"8";"94";"25";"36";"8";"6";"21";"230"
"Pays d'afrique";"1025";"805";"2641";"2125";"1276";"621";"1285";"2191";"2116"
"Moyen - Orient";"9801";"9325";"11864";"11602";"9954";"6940";"8414";"8357";"8794"
"Pays d'Europe";"13838";"19545";"19787";"20114";"16834";"17490";"15368";"11036";"8400"
"Pays d'asie";"--";"--";"--";"--";"--";"--";"--";"--";"--"
"Diverses relations";"33";"3";"53";"6";"2";"11";"--";"--";"--"
