"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Kilomètre";"";"";"";"";"";"";"";"";""
"Source : Société Tunisienne d'Electricité et de Gaz";"";"";"";"";"";"";"";"";""
"Réseau électrique par tension";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Basse tension";"108514";"110832";"112899";"115698";"119453";"121074";"123156";"125042";"125042"
"Moyenne tension";"56576";"57270";"58417";"59691";"60966";"62115";"63286";"64617";"64614"
"Haute tension";"6440";"6535";"6560";"6906";"6985";"6793";"6793";"6786";"6856"
