"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre en millier";"";"";"";"";"";"";"";"";""
"Source : Ministère de l'Intérieur et du Développement Local";"";"";"";"";"";"";"";"";""
"Sorties des tunisiens par pays de destination et par voie de transport";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Algérie";"554";"796";"1043";"1348";"1508";"351";"7";"597";"1806"
"Allemagne";"114";"127";"143";"172";"144";"45";"70";"119";"116"
"Angleterre";"21";"23";"28";"27";"30";"8";"4";"16";"20"
"Autriche";"8";"8";"8";"9";"13";"3";"3";"6";"6"
"Belgique";"32";"32";"36";"37";"44";"11";"21";"34";"40"
"France";"793";"917";"1007";"1101";"1164";"519";"691";"970";"1016"
"Hollande";"5";"5";"7";"8";"11";"2";"1";"1";"1"
"Italie";"320";"335";"376";"397";"358";"143";"212";"293";"278"
"Libye";"328";"492";"443";"382";"430";"142";"459";"763";"848"
"Maroc";"43";"40";"41";"35";"43";"10";"11";"25";"42"
"Moyen-Orient";"184";"178";"188";"243";"255";"68";"101";"217";"300"
"Suisse";"26";"27";"30";"27";"30";"10";"16";"28";"32"
"Russie";"2";"1";"1";"1";"1";"0";"0";"0";"0"
"Autres Pays";"138";"153";"256";"208";"233";"74";"153";"245";"272"
