"NoFilter";"";"";"";"";"";""
"Unité : Pourcentage";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";""
"Structure de logements";"";"";"";"";"";""
"";"";"";"";"";"";""
"";"";"";"";"";"";""
"";"1984";"1989";"1994";"1999";"2004";"2009"
"Logements modernes (villas, appartements, …)";"20.2";"22.7";"33.7";"38.5";"45.1";"33.8"
"Logements traditionnels (maison arabe, borj, houch....)";"71.0";"72.4";"63.6";"60.3";"54.1";"65.9"
"Logements rudimentaires";"8.8";"4.9";"2.7";"1.2";"0.8";"0.3"
