"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Banque Centrale de Tunisie";"";"";"";"";"";"";"";"";""
"Structure du système financier";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Banque Centrale";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Banque de  Dépôts";"22";"23";"24";"23";"23";"23";"23";"23";"23"
"Institutions de collecte de l'épargne";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Banques OFF- SHORE";"7";"7";"7";"7";"7";"7";"7";"7";"7"
"Sociétés d'Investissement";"134";"134";"134";"148";"148";"149";"150";"154";"154"
"Centre de  Chèques Postaux";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Bourse des Valeurs Mobilières";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Sociétés de factoring";"6";"6";"6";"4";"4";"4";"4";"4";"4"
"Organismes de Leasing";"13";"8";"8";"8";"8";"8";"8";"8";"8"
