"NoFilter";"";"";"";"";"";""
"Unité : Dinar Tunisien";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";""
"Structures des dépenses des ménages selon les fonctions de consommation";"";"";"";"";"";""
"";"";"";"";"";"";""
"";"";"";"";"";"";""
"";"1990";"1995";"2000";"2005";"2010";"2015"
"Alimentation";"286";"364";"504";"634";"763";"1118"
"Habitation";"158";"215";"286";"414";"635";"1030"
"Boissons alcoolisées et tabac";"--";"--";"--";"--";"73";"102"
"Habillement";"73";"114";"148";"160";"224";"--"
"Équipement électroménager et ameublement";"--";"--";"--";"--";"117";"143"
"Soin sanitaire et personnel";"62";"92";"133";"188";"228";"363"
"Transport";"55";"75";"115";"195";"233";"360"
"Télécommunication";"4";"9";"15";"67";"141";"171"
"Culture et diverstissement";"45";"60";"77";"103";"36";"44"
"Enseignement";"17";"26";"39";"50";"54";"84"
"Hôtels, restaurants, cafés";"--";"--";"--";"--";"84";"157"
"Autres dépenses";"17";"11";"13";"9";"12";"6"
"Total des dépenses";"716";"966";"1329";"1820";"2601";"3871"
