"NoFilter";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";""
"Source : Répertoire National d’Entreprises";"";"";"";"";"";"";"";""
"Suivie de la génération 2000 par secteur d'activité";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Secteur d'activité";"24049";"23280";"22702";"22104";"21678";"20847";"20382";"17499"
"Agriculture, Sylviculture et Pêche";"85";"85";"83";"84";"83";"78";"78";"72"
"Industrie";"3011";"2928";"2838";"2766";"2735";"2615";"2561";"2244"
"Construction";"1119";"1083";"1079";"1066";"1049";"1014";"987";"844"
"Commerce, réparation d’automobiles et de motocycles";"9942";"9559";"9282";"8998";"8806";"8370";"8124";"6749"
"Transports et Entreposage";"3834";"3794";"3755";"3688";"3615";"3578";"3548";"3202"
"Hébergement et Restauration";"988";"971";"953";"946";"929";"905";"899";"778"
"Information et communication";"1010";"935";"863";"792";"744";"697";"647";"458"
"Activités financières et d'assurances";"87";"85";"83";"82";"80";"77";"76";"74"
"Activités immobilières";"152";"156";"163";"169";"170";"170";"174";"167"
"Activités spécialisées, scientifiques et techniques";"1164";"1141";"1130";"1092";"1091";"1068";"1062";"991"
"Activités de services administratifs et de soutien";"570";"543";"525";"505";"492";"464";"460";"392"
"Enseignement, Santé humaine et action sociale";"605";"588";"584";"573";"569";"567";"557";"535"
"Réparation d'ordinateurs et de biens personnels et domestiques";"199";"190";"177";"184";"180";"172";"168";"145"
"Autres services personnels";"1056";"1007";"979";"954";"930";"883";"856";"698"
"Autres activités";"227";"215";"208";"205";"205";"189";"185";"150"
