"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Répertoire National d’Entreprises";"";"";"";"";"";"";"";"";""
"Suivie de la génération 2010 par secteur d'activité";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Secteur d'activité";"41639";"40267";"38969";"37936";"33538";"32870";"32523";"31870";"29167"
"Agriculture, Sylviculture et Pêche";"255";"254";"248";"247";"222";"217";"217";"222";"220"
"Industrie";"4700";"4607";"4492";"4406";"3933";"3861";"3826";"3777";"3464"
"Construction";"2500";"2443";"2395";"2342";"2115";"2061";"2042";"2006";"1849"
"Commerce, réparation d’automobiles et de motocycles";"17345";"16669";"16053";"15570";"13747";"13416";"13213";"12924";"11537"
"Transports et Entreposage";"4720";"4491";"4293";"4132";"3421";"3371";"3404";"3333";"3063"
"Hébergement et Restauration";"1962";"1898";"1845";"1793";"1672";"1632";"1610";"1576";"1392"
"Information et communication";"1003";"958";"936";"909";"790";"769";"751";"722";"701"
"Activités financières et d'assurances";"131";"129";"126";"125";"119";"120";"117";"113";"112"
"Activités immobilières";"165";"169";"174";"179";"163";"162";"158";"158";"155"
"Activités spécialisées, scientifiques et techniques";"3781";"3725";"3641";"3591";"3186";"3144";"3119";"3055";"2984"
"Activités de services administratifs et de soutien";"1565";"1519";"1455";"1414";"1177";"1148";"1136";"1101";"1030"
"Enseignement, Santé humaine et action sociale";"1531";"1483";"1453";"1422";"1367";"1364";"1344";"1322";"1307"
"Réparation d'ordinateurs et de biens personnels et domestiques";"355";"345";"337";"322";"294";"291";"291";"288";"266"
"Autres services personnels";"1053";"1024";"1002";"977";"885";"868";"856";"847";"715"
"Autres activités";"573";"553";"519";"507";"447";"446";"439";"426";"372"
