"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Hectare";"";"";"";"";"";"";"";"";""
"Source : Direction générale des forêts";"";"";"";"";"";"";"";"";""
"Superficies reboisées et des plantations pastorales";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Superficies reboisées et des plantations pastorales";"18104.00";"6336.00";"8563.00";"6671.00";"7003.00";"7774.00";"5842.00";"4690.00";"4303.00"
"Superficie du Reboisement forestier";"11249.00";"4843.00";"6382.00";"4105.00";"4127.00";"5138.00";"4078.00";"2932.00";"2601.00"
"Taux de réussite";"69.00";"48.00";"55.00";"52.00";"59.00";"58.00";"57.00";"56.00";"62.00"
"Superficie de la Plantation pastorale";"6855.00";"1493.00";"2181.00";"2566.00";"2876.00";"2636.00";"1764.00";"1758.00";"1702.00"
"Taux de réussite";"69.00";"48.00";"55.00";"52.00";"59.00";"58.00";"57.00";"56.00";"62.00"
