"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Pourcentage";"";"";"";"";"";"";"";"";""
"Source : Banque Centrale de Tunisie";"";"";"";"";"";"";"";"";""
"Taux d'intérêt (en %)";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Taux d intérêt du marché monétaire";"4.7";"4.9";"4.3";"4.3";"5.2";"7.2";"7.8";"6.1";"6.3"
"Taux de rémunération de l' épargne";"2.8";"3.5";"3.5";"3.5";"4.0";"5.0";"5.0";"5.0";"5.0"
"Taux max.de découvert(servant à la déterminat. du taux d intérêt légal)";"11.7";"11.9";"11.3";"11.3";"12.6";"14.2";"14.8";"13.1";"13.3"
