"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Pourcentage";"";"";"";"";"";"";"";"";""
"Source : Office National du Tourisme Tunisien  (O.N.T.T)";"";"";"";"";"";"";"";"";""
"Taux d'occupation par région touristique";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Tunis – Zaghouan";"18";"19";"30";"31";"33";"9";"10";"21";"25"
"Nabeul – Hammamet";"23";"24";"28";"33";"38";"8";"10";"23";"32"
"Sousse – Kairouan";"24";"23";"37";"42";"47";"7";"12";"29";"39"
"Yasmine Hammamet";"30";"31";"37";"45";"48";"13";"16";"36";"44"
"Monastir – Skanès";"24";"45";"40";"52";"58";"11";"14";"37";"46"
"Mahdia-Sfax";"19";"25";"42";"44";"48";"8";"20";"35";"40"
"Jerba-Zarzis-Gabès";"18";"21";"41";"53";"54";"7";"23";"46";"53"
"Gafsa -Tozeur";"7";"7";"15";"17";"20";"4";"12";"15";"23"
"Sbeitla-Kasserine";"16";"16";"19";"21";"19";"10";"12";"14";"18"
"Bizerte-Bejà";"17";"14";"14";"13";"16";"9";"11";"16";"20"
"Tabarka-Ain Draham";"24";"23";"27";"29";"32";"10";"20";"33";"38"
