"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Pourcentage";"";"";"";"";"";"";"";"";""
"Source : Ministère des Technologies de l'Information et de la Communication";"";"";"";"";"";"";"";"";""
"Domaine de la radio diffusion";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Radio Nationale";"100";"100";"100";"100";"100";"100";"100";"100";"100"
"Radio Jeunes";"98";"98";"98";"98";"98";"98";"98";"98";"98"
"Radio Internationale";"86";"86";"86";"86";"86";"86";"86";"86";"86"
"Radio Culturelle";"97";"97";"97";"97";"97";"97";"97";"97";"97"
"Radio Régionale de Sfax";"26";"26";"26";"26";"26";"26";"26";"26";"26"
"Radio Régionale de Monastir";"45";"45";"45";"45";"45";"45";"45";"45";"45"
"Radio Régionale du Kef";"15";"15";"15";"15";"15";"15";"15";"15";"15"
"Radio Régionale de Gafsa";"19";"19";"19";"19";"19";"19";"19";"19";"20"
"Radio Régionale de Tataouine";"10";"10";"10";"10";"10";"10";"10";"10";"10"
"Radio Mosaique";"40";"40";"40";"40";"98";"98";"98";"98";"98"
"Radio Jawhara";"19";"19";"19";"19";"52";"52";"52";"52";"52"
"Radio zitouna FM";"99";"99";"99";"99";"99";"99";"99";"99";"99"
"Radio Shems FM";"60";"60";"60";"60";"60";"60";"60";"60";"60"
"Radio Express FM";"30";"30";"30";"30";"47";"47";"47";"47";"30"
"Radio OXYGENE FM";"6";"6";"6";"6";"6";"6";"6";"6";"6"
"Radio I FM";"24";"24";"24";"24";"97";"97";"97";"97";"97"
"Radio OASIS FM";"3";"3";"3";"3";"64";"--";"--";"--";"--"
"Radio CAP FM";"13";"13";"13";"13";"13";"13";"13";"13";"13"
"Radio KALIMA FM";"24";"24";"24";"24";"--";"--";"--";"--";"--"
"Radio SABRA FM";"8";"8";"8";"8";"8";"8";"8";"8";"8"
"Radio ULYSSE FM";"5";"5";"5";"5";"5";"5";"5";"5";"5"
"Radio CHAAMBI FM";"6";"6";"6";"6";"--";"--";"--";"--";"--"
"Radio SARAHA FM";"--";"--";"14";"24";"24";"--";"--";"--";"--"
"Radio KNOUZ FM";"--";"--";"12";"12";"12";"12";"12";"12";"12"
"Radio MED FM";"--";"--";"24";"14";"34";"34";"34";"14";"13"
"Radio Kasserine FM";"--";"--";"1";"1";"1";"1";"1";"1";"1"
"Radio Mehdia FM";"--";"--";"8";"8";"8";"--";"--";"2";"6"
"Radio RIBAT FM";"--";"--";"7";"7";"7";"7";"7";"7";"--"
"Radio NEJMA FM";"--";"--";"7";"7";"11";"11";"11";"11";"--"
"Radio Mseken FM";"--";"--";"2";"2";"2";"2";"2";"2";"1"
"Radio Diwan FM";"--";"--";"9";"9";"10";"10";"8";"8";"40"
