"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Ministère des Technologies de l'Information et de la Communication";"";"";"";"";"";"";"";"";""
"Domaines de l'informatique et de l'internet";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Nombre d'abonnés au réseau Internet";"3964";"5820";"7545";"7807";"8320";"9833";"10310";"10342";"11329"
"Nombre d'abonnés au réseau Internet Pour les 1000 habitants";"36";"53";"67";"69";"72";"85";"88";"88";"96"
"Nombre d'utilisateurs du réseau Internet";"5660000";"--";"--";"--";"--";"--";"--";"--";"--"
"Nombre d'utilisateurs du réseau Internet pour les 1000 habitants";"517";"--";"--";"--";"--";"--";"--";"--";"--"
"Pourcentage des ménages connectés au réseau Internet (%)";"--";"30";"31";"38";"45";"46";"52";"51";"--"
"Nombre de sites Web";"19303";"24673";"29183";"35900";"38141";"41660";"42710";"48526";"51000"
"Largeur de la bande passante Internationale d'Internet (Gb/s)";"90";"130";"180";"190";"320";"430";"780";"910";"1110"
"Nombre total d'ordinateurs ( toutes gammes confondues)";"2006456";"2342108";"2544936";"2536000";"--";"--";"--";"--";"--"
"Nombre d'ordinateurs pour 100 habitants";"18";"21";"23";"22";"23";"--";"--";"--";"--"
"Taux de pénétration des ordinateurs dans les ménages";"--";"33";"35";"39";"47";"48";"52";"54";"--"
