"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Ministère des Technologies de l'Information et de la Communication";"";"";"";"";"";"";"";"";""
"Trafic téléphoniques Tunisie Télecom";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Lignes d'abonnements au 31 décembre";"961972";"881909";"856891";"853462";"901179";"989583";"1085546";"1183092";"1257966"
"Nouvelles lignes d'abonnements";"183263";"99277";"79821";"122909";"153299";"211817";"237671";"261149";"246985"
"Lignes resiliées";"104522";"180822";"115181";"146220";"113739";"135222";"147109";"146249";"171735"
"Demandes d'abonnements en  instance";"33796";"34502";"35768";"27897";"39511";"18834";"23195";"56329";"88904"
