"NoFilter";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";""
"Evolution de la population active selon le sexe";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"quatrième-trimestre 2023";"première-trimestre 2024";"deuxième-trimestre 2024";"troisième-trimestre 2024";"quatrième-trimestre 2024";"première-trimestre 2025";"deuxième-trimestre 2025";"troisième-trimestre 2025"
"Evolution de la population active";"4084.0";"4145.0";"4146.0";"4179.0";"4532.0";"4233.0";"4260.0";"4259.0"
"Masculin";"2836.0";"2887.0";"2858.0";"2895.0";"2879.0";"2900.0";"2900.0";"2923.0"
"Féminin";"1248.0";"1258.0";"1288.0";"1284.0";"1653.0";"1334.0";"1360.0";"1337.0"
