"NoFilter";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";""
"Evolution des créations d'emploi selon le sexe";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"troisième-trimestre 2021";"quatrième-trimestre 2021";"première-trimestre 2022";"deuxième-trimestre 2022";"troisième-trimestre 2022";"quatrième-trimestre 2022";"première-trimestre 2023";"deuxième-trimestre 2023"
"Evolution des créations d'emploi";"-28.0";"107.9";"-93.6";"61.2";"-56.3";"101.5";"-77.3";"35.6"
"Masculin";"-14.1";"76.7";"-60.5";"46.6";"-0.7";"16.9";"-22.1";"24.9"
"Féminin";"-13.9";"31.2";"-33.1";"14.6";"-55.6";"84.6";"-55.2";"10.7"
