"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Agence Nationale de l'Emploi et du Travail Indépendant";"";"";"";"";"";"";"";"";""
"Evolution des demandes d'emploi enregistrées";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Evolution des demandes d'emploi enregistrées";"789927";"657543";"625744";"582074";"488028";"459928";"442768";"391927";"398485"
"Dont première demande";"753015";"630750";"601911";"561380";"470750";"445299";"428289";"379246";"386953"
"Masculin";"343261";"263500";"255292";"228711";"196184";"185476";"180574";"160186";"165700"
"Feminin";"446666";"394043";"370452";"353363";"291844";"274452";"262194";"231741";"232785"
