"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Agence Nationale de l'Emploi et du Travail Indépendant";"";"";"";"";"";"";"";"";""
"Evolution des placements réalisées";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Placements réalisées par Sexe";"49460";"49667";"55633";"51133";"38970";"36365";"45521";"50588";"48102"
"Dont premier emploi";"44975";"45941";"51435";"48271";"37796";"35469";"43706";"48771";"--"
"Masculin";"20778";"19308";"22465";"20228";"13489";"13312";"16972";"17804";"18110"
"Feminin";"28682";"30359";"33168";"30905";"25481";"23053";"28549";"32784";"29992"
