"NoFilter";"";"";"";"";"";"";"";""
"Unité : Pourcentage";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";""
"Taux de chômage des diplômés de l’enseignement supérieur selon le genre";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"quatrième-trimestre 2023";"première-trimestre 2024";"deuxième-trimestre 2024";"troisième-trimestre 2024";"quatrième-trimestre 2024";"première-trimestre 2025";"deuxième-trimestre 2025";"troisième-trimestre 2025"
"Taux de chômage des diplômés de l’enseignement supérieur";"23.2";"23.4";"23.0";"25.0";"16.7";"23.5";"24.0";"24.9"
"Masculin";"12.3";"13.8";"13.4";"17.0";"9.3";"13.6";"14.2";"14.5"
"Féminin";"33.0";"31.2";"30.6";"31.6";"22.9";"30.7";"31.3";"32.3"
