"NoFilter";"";"";"";"";"";"";"";""
"Unité : Pourcentage";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";""
"Taux de chômage selon le sexe (%)";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"deuxième-trimestre 2024";"troisième-trimestre 2024";"quatrième-trimestre 2024";"première-trimestre 2025";"deuxième-trimestre 2025";"troisième-trimestre 2025";"quatrième-trimestre 2025";"première-trimestre 2026"
"Par sexe";"16.0";"16.0";"16.5";"15.7";"15.3";"15.4";"15.2";"15.0"
"Masculin";"13.6";"13.3";"12.7";"13.6";"12.6";"12.1";"12.6";"12.3"
"Féminin";"21.3";"22.1";"23.1";"20.3";"20.9";"22.4";"20.8";"20.7"
