"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre en millier";"";"";"";"";"";"";"";"";""
"Source : Ministère de l'Intérieur et du Développement Local";"";"";"";"";"";"";"";"";""
"Entrées des voyageurs non résidents par nationalité";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Entrée des non résidents par nationalité";"4202";"4526";"5743";"6921";"7984";"1432";"1600";"5170";"8134"
"Européens";"1298";"1409";"1688";"2396";"2752";"412";"591";"1791";"2545"
"Maghrébins";"2766";"2986";"3882";"4310";"4977";"957";"921";"3195";"5381"
"Nord-américains";"23";"24";"31";"40";"47";"11";"19";"50";"61"
"Autres";"115";"107";"142";"175";"209";"53";"70";"134";"148"
