"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre en millier";"";"";"";"";"";"";"";"";""
"Source : Ministère de l'Intérieur et du Développement Local";"";"";"";"";"";"";"";"";""
"Evolution des sorties des voyageurs non résidents par voie de transport et poste frontière";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Voie Aérienne";"1636";"1881";"2203";"3018";"3376";"556";"751";"2331";"3308"
"Voie Terrestre";"1925";"2125";"2793";"3028";"3181";"587";"462";"1597";"3420"
"Voie Maritime";"66";"65";"76";"78";"82";"32";"46";"85";"55"
