"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Office National du Tourisme Tunisien  (O.N.T.T)";"";"";"";"";"";"";"";"";""
"Nombre d'établissements par région touristique";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Nombre d'établissements dans la région touristique Tunis – Zaghouan";"141";"112";"121";"124";"127";"124";"128";"130";"133"
"Nombre d'établissements dans la région touristique Nabeul – Hammamet";"115";"116";"126";"124";"127";"130";"129";"129";"131"
"Nombre d'établissements dans la région touristique Sousse – Kairouan";"107";"107";"107";"109";"108";"101";"104";"104";"105"
"Nombre d'établissements dans la région touristique Yasmine Hammamet";"45";"44";"44";"44";"44";"43";"43";"43";"43"
"Nombre d'établissements dans la région touristique Monastir – Skanès";"47";"42";"43";"47";"47";"48";"48";"46";"47"
"Nombre d'établissements dans la région touristique Mahdia-Sfax";"75";"67";"72";"74";"74";"76";"81";"81";"82"
"Nombre d'établissements dans la région touristique Jerba-Zarzis-Gabes";"167";"165";"166";"175";"177";"179";"169";"169";"150"
"Nombre d'établissements dans la région touristique Gafsa -Tozeur";"90";"92";"89";"89";"84";"85";"53";"52";"52"
"Nombre d'établissements dans la région touristique Sbeitla-Kasserine";"13";"13";"13";"11";"13";"14";"14";"14";"14"
"Nombre d'établissements dans la région touristique Bizerte - Bejà";"25";"27";"28";"31";"32";"33";"36";"37";"38"
"Nombre d'établissements dans la région touristique Tabarka-Ain Draham";"37";"39";"39";"40";"43";"42";"26";"26";"27"
"Nombre d'établissements dans l'ensemble des régions touristiques";"862";"824";"848";"868";"876";"875";"893";"895";"905"
