"NoFilter";"";"";"";"";"";"";"";"";"";""
"Unité : Nombre en millier";"";"";"";"";"";"";"";"";"";""
"Source : Ministère de l'Intérieur et du Développement Local";"";"";"";"";"";"";"";"";"";""
"Sorties des voyageurs non résidents par nationalité";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Sortie des non résidents par nationalité";"5303";"3627";"4071";"5072";"6124";"6639";"1174";"1260";"4013";"6782"
"Européens";"2723";"1259";"1369";"1613";"2310";"2625";"390";"558";"1747";"2551"
"Maghrébins";"2419";"2246";"2588";"3310";"3628";"3791";"730";"625";"2090";"4030"
"Nord-américains";"24";"22";"23";"29";"37";"42";"10";"18";"49";"60"
"Autres";"137";"101";"92";"120";"150";"181";"44";"58";"126";"142"
