"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Tonne";"";"";"";"";"";"";"";"";""
"Source : Société Nationale des Chemins de Fer Tunisiens (S.N.C.F.T.)";"";"";"";"";"";"";"";"";""
"Trafic des marchandises dans le transport ferroviaire (ensemble du réseau)";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Poids en milliers de tonnes";"4797";"3687";"3856";"3448";"3103";"3215";"2065";"2492";"2397"
"Tonnes kilomètres en millions";"870";"664";"667";"679";"535";"547";"335";"415";"407"
"Recettes en milliers de dinars";"36888";"29204";"33164";"38468";"31562";"33513";"21535";"26150";"24546"
