"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : 1000T";"";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";"";""
"Transformation des Grains";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Production de la Farine";"814.4";"822.0";"860.6";"850.6";"863.3";"877.7";"884.7";"902.6";"897.9"
"Semoule";"658.0";"664.0";"727.5";"716.2";"696.2";"744.9";"810.5";"830.5";"803.1"
"Farine panifiée";"622.1";"609.2";"635.3";"660.1";"665.4";"647.6";"648.6";"657.0";"667.5"
"Consommation Farine";"812.6";"819.0";"851.6";"861.7";"873.7";"878.8";"895.0";"914.4";"937.6"
"Consommation Semoule";"652.4";"665.6";"726.2";"704.3";"701.5";"743.0";"787.1";"827.4";"818.0"
