"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : km²";"";"";"";"";"";"";"";"";""
"Source : Le ministère de l'Agriculture et des Ressources Hydrauliques";"";"";"";"";"";"";"";"";""
"Utilisation des sols";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Terres agricoles totales";"97890.2";"97929.4";"97920.9";"97900.1";"97850.7";"97607.0";"97607.0";"97021.8";"--"
"Total des forêts et terrains boisés";"6641.0";"11416.3";"11416.3";"11416.3";"11416.3";"11416.3";"--";"--";"--"
"Superficie de la Plantation pastorale";"6855.0";"1493.0";"2181.0";"2566.0";"2876.0";"2636.0";"1764.0";"1758.0";"1702.0"
"Taux de couverture";"8.1";"8.1";"8.2";"8.2";"8.3";"8.3";"8.3";"8.4";"8.4"
