"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : (2015 = 100)";"";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";"";""
"Variations des indices des prix à la consommation - IPC (2015=100)";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"octobre 2025";"novembre 2025";"décembre 2025";"janvier 2026";"février 2026";"mars 2026";"avril 2026";"mai 2026";"juin 2026"
"Produits alimentaires et boissons non alcoolisées";"0.1";"-0.3";"-0.2";"0.4";"1.3";"2.0";"1.4";"0.4";"-0.9"
"Boissons alcoolisées et tabac";"0.0";"0.0";"0.0";"0.1";"0.0";"0.0";"0.2";"0.4";"0.2"
"Articles d'habillement et chaussures";"6.4";"0.4";"1.7";"0.4";"-4.6";"1.5";"5.9";"0.4";"1.7"
"Logement, eau, gaz, électricité et autres combustibles";"0.2";"0.2";"0.2";"0.3";"0.4";"0.4";"0.3";"0.4";"0.5"
"Meubles, articles de ménage et entretien courant du foyer";"0.4";"0.2";"0.3";"0.4";"0.3";"0.4";"0.3";"0.3";"0.7"
"Santé";"0.2";"0.2";"0.2";"0.2";"0.2";"0.1";"0.1";"0.2";"0.3"
"Transports";"0.0";"0.1";"0.4";"0.1";"-0.1";"0.7";"-0.1";"0.3";"0.2"
"Communications";"0.1";"0.0";"0.1";"0.1";"0.0";"0.1";"-0.1";"0.0";"0.1"
"Loisirs et culture";"0.4";"0.3";"0.1";"0.3";"0.3";"0.2";"0.1";"0.3";"0.7"
"Enseignement";"0.2";"0.1";"0.0";"0.1";"0.0";"0.2";"0.0";"0.0";"0.0"
"Restaurants et hôtels";"0.1";"0.1";"0.6";"0.1";"0.2";"0.6";"0.9";"0.6";"1.0"
"Biens et services divers";"0.9";"0.3";"0.3";"0.2";"0.1";"0.4";"0.7";"0.3";"0.7"
"Ensemble";"0.7";"0.1";"0.2";"0.3";"0.1";"1.0";"1.1";"0.3";"0.2"
