"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Million m3/an";"";"";"";"";"";"";"";"";""
"Source : Ministère de l'agriculture";"";"";"";"";"";"";"";"";""
"Volume total d'eau douce utilisé";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Ménages";"251.9";"266.4";"272.5";"289.6";"299.5";"--";"--";"--";"--"
"Ménages branchés";"244.8";"257.9";"264.3";"279.1";"289.0";"309.9";"307.7";"321.1";"333.0"
"Ménages non branchés";"7.1";"8.5";"8.2";"10.5";"10.5";"11.8";"12.4";"11.8";"13.1"
"Agriculture, sylviculture et pêche";"1691.8";"1685.6";"1686.6";"--";"--";"--";"--";"--";"--"
"Industrie";"88.2";"88.0";"89.6";"32.9";"29.0";"31.8";"32.4";"31.9";"28.2"
"Autres agents économiques";"2.0";"2.4";"2.3";"2.7";"2.4";"2.3";"2.3";"2.1";"2.3"
"collectivité";"42.5";"42.6";"43.7";"44.5";"45.3";"45.7";"45.2";"45.5";"45.9"
"Tourisme";"18.4";"18.3";"17.5";"17.9";"13.5";"16.0";"16.1";"15.5";"12.3"
