"NoFilter";"";"";"";"";"";"";"";""
"Unité :";"";"";"";"";"";"";"";""
"Source :";"";"";"";"";"";"";"";""
"Aux prix de l'année 2015 en million de dinars";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"deuxième-trimestre 2024";"troisième-trimestre 2024";"quatrième-trimestre 2024";"première-trimestre 2025";"deuxième-trimestre 2025";"troisième-trimestre 2025";"quatrième-trimestre 2025";"première-trimestre 2026"
"Agriculture, sylviculture et pêche";"2052.4";"2060.4";"2128.7";"2184.6";"2254.3";"2304.7";"2390.8";"2333.4"
"Extraction du pétrole et du gaz naturel";"428.2";"425.8";"426.9";"384.4";"385.1";"370.2";"370.0";"365.8"
"Extraction des produits miniers";"148.1";"157.1";"183.7";"172.6";"203.6";"206.9";"207.2";"179.0"
"Industries agro-alimentaires";"817.2";"828.9";"810.3";"910.6";"820.7";"850.4";"859.5";"1047.9"
"Industrie du textile, de l’habillement et du cuir";"557.0";"586.4";"562.0";"571.0";"553.0";"563.4";"537.9";"538.0"
"Raffinage du pétrole";"17.0";"18.0";"3.4";"1.6";"11.5";"17.6";"8.4";"9.0"
"Industries chimiques";"242.0";"264.5";"262.6";"259.5";"270.6";"273.6";"266.1";"229.6"
"Industrie des matériaux de construction, céramique et verre";"204.1";"220.1";"203.9";"205.3";"220.4";"223.8";"212.4";"185.3"
"Industries mécaniques et électriques";"968.0";"1004.7";"1033.7";"970.9";"1061.5";"1055.5";"1114.6";"1012.6"
"Industries diverses";"382.0";"403.8";"402.0";"384.8";"394.4";"411.6";"409.5";"382.7"
"Production et distribution de l'électricité et du gaz";"269.8";"280.5";"238.9";"247.1";"279.0";"296.7";"264.3";"261.3"
"Distribution d'eau et traitement des eaux usées et des déchets";"185.3";"184.1";"185.8";"190.0";"190.9";"191.5";"191.1";"196.6"
"Construction";"991.3";"994.7";"1018.8";"1018.9";"1072.8";"1015.4";"1060.6";"946.4"
"Commerce, entretien et réparation";"2797.5";"2834.2";"2878.6";"2848.9";"2871.6";"2877.4";"2939.7";"2918.1"
"Services du transport et entreposage";"1422.7";"1428.7";"1405.2";"1384.2";"1464.9";"1432.5";"1408.0";"1408.3"
"Services d'hôtellerie, de café et de restauration";"770.8";"773.7";"782.7";"804.5";"825.1";"828.5";"838.8";"836.9"
"Information et communication";"892.7";"888.2";"894.9";"886.1";"906.6";"912.5";"927.5";"922.9"
"Activités financières";"1049.9";"1004.6";"1002.6";"953.0";"978.2";"894.3";"937.7";"941.5"
"Services d'administration publique et de défense";"2216.0";"2200.7";"2237.5";"2247.2";"2250.1";"2265.6";"2265.7";"2299.2"
"Enseignement privé et publique";"1584.6";"1590.9";"1608.5";"1611.3";"1616.6";"1624.3";"1626.8";"1649.0"
"Santé et action sociale privé et publique";"1054.2";"1063.2";"1075.0";"1083.5";"1091.8";"1092.5";"1094.1";"1111.4"
"Autres services marchands";"1465.8";"1473.1";"1476.9";"1490.6";"1507.0";"1510.7";"1510.8";"1525.0"
"Autres activités des ménages";"1614.8";"1634.1";"1634.1";"1637.9";"1641.7";"1658.6";"1660.4";"1668.1"
"Services fournis par les organisations associatives";"65.7";"65.9";"65.9";"66.2";"67.2";"67.3";"67.3";"67.7"
"Impôts nets de subventions sur les produits";"1807.6";"1807.5";"1832.5";"1808.1";"1834.2";"1828.8";"1847.9";"1909.7"
"Produit Intérieur Brut";"24004.8";"24193.9";"24355.2";"24322.8";"24772.8";"24774.4";"25017.3";"24945.3"
