"NoFilter";"";"";"";"";"";""
"Unité :";"";"";"";"";"";""
"Source :";"";"";"";"";"";""
"Formation Brute du Capital Fixe par domaine aux prix courants";"";"";"";"";"";""
"";"";"";"";"";"";""
"";"";"";"";"";"";""
"";"2019";"2020";"2021";"2022";"2023";"2024"
"Agriculture, sylviculture et pêche";"1366.2";"1129.9";"1125.9";"1105.2";"1171.9";"1205.4"
"Extraction du pétrole et du gaz naturel";"1300.6";"1226.2";"1429.3";"1535.7";"1543.4";"1525.8"
"Extraction des produits miniers";"329.4";"242.7";"284.4";"287.4";"290.2";"279.9"
"Industries agro-alimentaires";"872.9";"697.2";"809.3";"842.8";"821.3";"812.1"
"Industrie du textile, de l’habillement et du cuir";"381.9";"192.6";"224.0";"229.5";"232.4";"230.3"
"Raffinage du pétrole";"127.0";"140.0";"162.9";"165.7";"175.3";"173.2"
"Industries chimiques";"260.9";"332.6";"387.5";"396.2";"397.3";"392.9"
"Industrie d'autres produits minéraux non métalliques";"431.0";"232.6";"270.7";"276.6";"292.0";"288.7"
"Industries mécaniques et électriques";"646.2";"461.6";"536.9";"569.7";"575.8";"570.5"
"Industries diverses";"484.9";"292.6";"338.3";"351.0";"356.6";"353.4"
"Production et distribution de l'électricité et du gaz";"1014.1";"464.0";"541.1";"585.6";"609.5";"602.5"
"Production et distribution d'eau, assainissement et gestion des déchets";"486.8";"413.1";"479.4";"518.5";"548.2";"544.3"
"Construction";"590.2";"403.7";"469.7";"485.4";"493.4";"487.6"
"Commerce et réparation";"820.0";"705.1";"820.3";"885.8";"906.7";"896.2"
"Transport et entreposage";"2769.5";"1816.1";"1566.0";"1525.4";"2007.8";"2163.7"
"Hébergement et restauration";"470.0";"203.0";"236.2";"240.3";"244.2";"241.3"
"Information et communication";"1067.2";"858.8";"952.9";"998.1";"999.7";"979.5"
"Activités financières et d'assurance";"315.6";"330.6";"408.7";"516.3";"531.6";"617.9"
"Autres Services marchands";"6521.2";"4964.8";"5901.0";"7630.2";"7663.0";"7751.2"
"Equipements collectifs des administrations publiques";"3642.9";"3828.4";"3913.3";"3604.8";"3703.1";"4185.5"
"Total";"23898.7";"18935.8";"20857.6";"22750.2";"23563.4";"24302.2"
