"NoFilter";"";"";"";"";"";""
"Unité :";"";"";"";"";"";""
"Source :";"";"";"";"";"";""
"Ressources et emplois des biens et services aux prix courants";"";"";"";"";"";""
"";"";"";"";"";"";""
"";"";"";"";"";"";""
"";"2019";"2020";"2021";"2022";"2023";"2024"
"Produit Intérieur Brut";"122969.3";"119502.1";"131544.6";"139444.5";"149733.8";"159760.6"
"Importations";"69332.9";"55379.1";"68210.1";"90318.0";"88476.9";"89940.2"
"Total Ressources -Emplois";"192302.1";"174881.2";"199754.7";"229762.5";"238210.7";"249700.9"
"Consommation finale globale";"111445.2";"114317.6";"123950.6";"134940.5";"146502.7";"157263.5"
"Consommation Publique";"23138.5";"25854.7";"27369.6";"28403.8";"29076.5";"30254.3"
"Consommation privée";"88306.7";"88462.9";"96581.0";"106536.7";"117426.2";"127009.3"
"Formation Brute de Capital Fixe";"23898.7";"18935.8";"20857.6";"22750.1";"23563.4";"24302.2"
"Variations de stocks";"453.4";"-3773.1";"-13.2";"500.6";"-11273.3";"-11747.9"
"Demande Intérieure";"135797.3";"129480.2";"144795.0";"158191.2";"158792.8";"169817.9"
"Exportations";"56504.8";"45401.0";"54959.6";"71571.2";"79417.9";"79883.0"
