"NoFilter";"";"";"";"";"";""
"Unité :";"";"";"";"";"";""
"Source :";"";"";"";"";"";""
"Valeurs ajoutées par secteur d'activité aux prix courants";"";"";"";"";"";""
"";"";"";"";"";"";""
"";"";"";"";"";"";""
"";"2019";"2020";"2021";"2022";"2023";"2024"
"Agriculture, sylviculture et pêche";"12009.5";"12418.3";"13272.9";"15090.3";"14185.3";"15558.5"
"Extraction du pétrole et du gaz naturel";"3445.6";"2463.8";"3382.5";"5440.7";"4827.9";"3854.2"
"Extraction des produits miniers";"630.3";"407.6";"689.3";"1286.8";"837.8";"834.1"
"Industries agro-alimentaires";"4094.3";"4183.4";"4307.0";"4619.4";"4849.3";"5140.9"
"Industrie du textile, de l’habillement et du cuir";"3511.1";"3041.9";"3429.5";"4013.9";"4215.0";"4057.0"
"Raffinage du pétrole";"27.1";"77.3";"161.7";"338.3";"183.2";"256.5"
"Industries chimiques";"1324.6";"1242.3";"1637.8";"2010.4";"1827.5";"1798.0"
"Industrie d'autres produits minéraux non métalliques";"1192.6";"1109.6";"1358.6";"1410.0";"1412.0";"1369.7"
"Industries mécaniques et électriques";"5225.5";"4667.2";"5737.2";"6757.1";"7484.8";"8281.1"
"Industries diverses";"2232.7";"2042.8";"2372.2";"2642.6";"2748.1";"2733.2"
"Production et distribution de l'électricité et du gaz";"547.9";"1122.1";"1587.1";"1589.6";"1563.5";"1483.4"
"Production et distribution d'eau, assainissement et gestion des déchets";"640.3";"701.9";"837.5";"912.7";"988.8";"1039.9"
"Construction";"5700.3";"4647.4";"5224.3";"5181.7";"5138.6";"5189.6"
"Commerce et réparation";"14013.5";"14004.4";"15395.7";"16982.8";"18852.0";"20679.0"
"Transport et entreposage";"6679.6";"4733.9";"5310.9";"6416.7";"7240.4";"7690.2"
"Hébergement et restauration";"4946.3";"3053.2";"3760.4";"4863.8";"6002.0";"6791.7"
"Information et communication";"3483.6";"3469.1";"3857.3";"4021.0";"4411.1";"4669.0"
"Activités financières et d'assurance";"4947.0";"4983.7";"5133.3";"5640.7";"6180.0";"6564.8"
"Administration publique et défense";"12803.9";"13997.0";"14980.5";"15826.2";"16115.2";"16728.6"
"Enseignement";"7622.1";"8175.9";"8691.2";"9064.9";"9342.0";"9770.1"
"Santé humaine et action sociale";"3991.5";"4760.0";"5496.1";"5771.9";"6468.5";"6968.6"
"Autres services marchands";"7130.5";"6560.9";"6960.1";"7700.7";"8940.0";"10030.0"
"Autres activités des ménages";"7790.7";"7901.4";"8415.0";"8526.9";"9038.3";"9713.0"
"Activités des organisations associatives";"301.2";"288.8";"306.9";"341.4";"384.9";"417.0"
"Sous total. Activités marchandes";"92110.4";"85432.0";"96158.9";"109152.6";"115418.1";"122880.2"
"Sous total. Activités non marchandes";"22181.4";"24621.9";"26145.8";"27297.9";"27818.1";"28737.7"
"Total des valeurs ajoutées";"114291.8";"110053.8";"122304.7";"136450.5";"143236.2";"151617.9"
"Impôts nets de subventions sur les produits";"8677.4";"9448.3";"9239.9";"2994.0";"6497.6";"8142.7"
"Produit Intérieur Brut (PIB)";"122969.3";"119502.1";"131544.6";"139444.5";"149733.8";"159760.6"
