STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,OBS_VALUE,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_BX_KLT_DINV_CD_WD,_T,_T,_T,USD,_Z,_Z,_Z,2015,1.58266666666666E9,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Zambia,"Foreign direct investment, net inflows (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_BX_KLT_DINV_CD_WD,_T,_T,_T,USD,_Z,_Z,_Z,2015,3.992E8,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Zimbabwe,"Foreign direct investment, net inflows (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,WB_WDI_BX_KLT_DINV_CD_WD,_T,_T,_T,USD,_Z,_Z,_Z,2016,1.6660273040226303E10,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Africa Eastern and Southern,"Foreign direct investment, net inflows (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_BX_KLT_DINV_CD_WD,_T,_T,_T,USD,_Z,_Z,_Z,2016,1.5648129980009024E10,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Africa Western and Central,"Foreign direct investment, net inflows (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARB,WB_WDI_BX_KLT_DINV_CD_WD,_T,_T,_T,USD,_Z,_Z,_Z,2016,4.708543965166878E10,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Arab World,"Foreign direct investment, net inflows (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CSS,WB_WDI_BX_KLT_DINV_CD_WD,_T,_T,_T,USD,_Z,_Z,_Z,2016,1.8493686124888334E9,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Caribbean small states,"Foreign direct investment, net inflows (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_BX_KLT_DINV_CD_WD,_T,_T,_T,USD,_Z,_Z,_Z,2016,1.1633225671911641E11,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Central Europe and the Baltics,"Foreign direct investment, net inflows (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAR,WB_WDI_BX_KLT_DINV_CD_WD,_T,_T,_T,USD,_Z,_Z,_Z,2016,2.1309719530313995E11,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Early-demographic dividend,"Foreign direct investment, net inflows (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAS,WB_WDI_BX_KLT_DINV_CD_WD,_T,_T,_T,USD,_Z,_Z,_Z,2016,5.288835646931914E11,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,East Asia & Pacific,"Foreign direct investment, net inflows (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAP,WB_WDI_BX_KLT_DINV_CD_WD,_T,_T,_T,USD,_Z,_Z,_Z,2016,2.201177288659864E11,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,East Asia & Pacific (excluding high income),"Foreign direct investment, net inflows (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
