STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,OBS_VALUE,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SI_POV_DDAY,_T,_T,_T,PT_POP,_Z,_Z,_Z,2015,67.9,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Zambia,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAS,WB_WDI_SI_POV_DDAY,_T,_T,_T,PT_POP,_Z,_Z,_Z,2016,5.0,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,East Asia & Pacific,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_SI_POV_DDAY,_T,_T,_T,PT_POP,_Z,_Z,_Z,2005,22.5,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Yemen, Rep.",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAS,WB_WDI_SI_POV_DDAY,_T,_T,_T,PT_POP,_Z,_Z,_Z,2006,27.7,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,East Asia & Pacific,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SI_POV_DDAY,_T,_T,_T,PT_POP,_Z,_Z,_Z,2017,44.7,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Zimbabwe,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAS,WB_WDI_SI_POV_DDAY,_T,_T,_T,PT_POP,_Z,_Z,_Z,2018,3.3,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,East Asia & Pacific,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ECS,WB_WDI_SI_POV_DDAY,_T,_T,_T,PT_POP,_Z,_Z,_Z,2018,0.8,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Europe & Central Asia,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_SI_POV_DDAY,_T,_T,_T,PT_POP,_Z,_Z,_Z,2014,33.3,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Yemen, Rep.",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAS,WB_WDI_SI_POV_DDAY,_T,_T,_T,PT_POP,_Z,_Z,_Z,2015,6.1,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,East Asia & Pacific,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAS,WB_WDI_SI_POV_DDAY,_T,_T,_T,PT_POP,_Z,_Z,_Z,2019,2.6,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,East Asia & Pacific,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
