"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Million KW";"";"";"";"";"";"";"";"";""
"Source : Société Tunisienne d'Electricité et de Gaz";"";"";"";"";"";"";"";"";""
"Consommation d'éléctricité de haut et moyenne tension par branche d'activite économique";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Industries extractives";"305";"318";"322";"308";"317";"286";"310";"316";"281"
"Industries alimentaires";"703";"673";"688";"687";"703";"660";"635";"609";"609"
"Textile et habillement";"479";"458";"440";"457";"476";"422";"458";"483";"452"
"Papier et édition";"146";"141";"119";"110";"105";"80";"95";"97";"85"
"Industries chimiques";"467";"443";"458";"493";"495";"535";"588";"611";"607"
"Industries des matériaux de construction";"1659";"1568";"1500";"1472";"1451";"1253";"1457";"1373";"1220"
"Industries Métallurgique de base";"268";"272";"253";"284";"256";"262";"285";"300";"291"
"Industries diverses";"1026";"1034";"1095";"1159";"1150";"1054";"1165";"1265";"1276"
"Agriculture";"564";"603";"589";"606";"634";"657";"699";"696";"711"
"Eaux et service sanitaires";"616";"681";"792";"766";"752";"850";"872";"886";"948"
"Transport et communication";"302";"285";"298";"305";"284";"252";"258";"271";"257"
"Tourisme";"463";"430";"492";"540";"581";"292";"337";"504";"533"
"Services";"941";"944";"961";"971";"1014";"931";"976";"1023";"1008"
