"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Million KW";"";"";"";"";"";"";"";"";""
"Source : Société Tunisienne d'Electricité et de Gaz";"";"";"";"";"";"";"";"";""
"Consommation d'éléctricité par centre de distribution";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Le grand Tunis";"4317";"4301";"4367";"4356";"4647";"4254";"4540";"4838";"4770"
"Nord-est";"2792";"2821";"2942";"2949";"3038";"2843";"3021";"3179";"3174"
"Nord-ouest";"934";"961";"1026";"1015";"1004";"1013";"1073";"1093";"1087"
"Le Centre";"3222";"3097";"3169";"3233";"3350";"3113";"3345";"3521";"3456"
"Sud-ouest";"1009";"1107";"1161";"1162";"1258";"1208";"1270";"1320";"1398"
"Sud-est";"2717";"2720";"2766";"2849";"3070";"2893";"3136";"3352";"3412"
