"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Million KW";"";"";"";"";"";"";"";"";""
"Source : Société Tunisienne d'Electricité et de Gaz";"";"";"";"";"";"";"";"";""
"Consommation d'éléctricité par tension";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Basse tension";"7052";"7171";"7466";"7390";"8169";"7835";"8304";"8870";"9019"
"Moyenne tension";"6531";"6489";"6666";"6856";"6956";"6359";"6780";"7140";"7100"
"Haute tension";"1408";"1377";"1358";"1302";"1262";"1178";"1358";"1293";"1177"
