"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : 1000 T.E.P. (Tonne Equivalent Pétrole )";"";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";"";""
"Consommation d'énergie commerciale";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Carburants";"4571";"4341";"4588";"4563";"4577";"4227";"4534";"4571";"4432"
"Gaz naturel";"4685";"4685";"4865";"5024";"5118";"4842";"5106";"4867";"4644"
"Electricité primaire";"45";"45";"40";"40";"49";"44";"40";"56";"72"
