"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Millier de consommateur";"";"";"";"";"";"";"";"";""
"Source :";"";"";"";"";"";"";"";"";""
"Nombre de consommateur d'éléctricité par centre de distribution et par tension";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Nombre du consommateur d'éléctricité par centre de distribution";"3726";"3837";"3934";"4049";"4142";"4234";"4329";"4419";"4494"
"Nombre des consommateurs d'éléctricité de basse tension par centre de distribution";"3708";"3819";"3915";"4030";"4123";"4214";"4309";"4398";"4473"
"Nombre des consommateurs d'éléctricité de Moyenne et haute tension par centre de distribution";"18";"18";"19";"19";"20";"20";"20";"21";"21"
