"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : 1000 T.E.P. (Tonne Equivalent Pétrole )";"";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";"";""
"Production d'énergie primaire";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Pétrole brut";"2627";"2505";"2117";"2048";"1879";"1737";"2135";"1804";"1754"
"Gaz naturel";"2231";"1969";"1850";"1763";"1585";"1646";"1946";"1815";"1607"
"Electricité primaire";"45";"45";"40";"40";"49";"44";"40";"56";"72"
